id,Text,Embed,Challenge,Poster
0, "Pizza Inception!",weird-pizza.jpg,8,20
1, "Pizza kann auch fancy sein: Ich hab mir heute einen Hummer gegönnt",lobster_pizza.jpg,8,15
2, "konnte nicht widerstehen.. yoda <3",yoda_pizza.jpg,8,8
3, "Ich vermisse die Schoko-Pizza von Dr Oetker. Also dachte ich\, ich versuche etwas ähnliches. Hier ist meine außergewöhnliche Pizza mit Lucky Charms ",cereal_pizza.jpg,8,1
4, "Meine Lieblingspizza mit Mayo und Erbsen. Schmeckt auch mit Chillis super!",wtf_pizza.jpg,8,2
5, "a portrait of my cat",Cat-Pizza.jpg,8,13
6, "Das ist meine Hamburger Pizza mit Gewürzgurken\, Salat und Hackfleisch :) Für die Soße mische ich einfach den Essig von den Gurken\, Ketchup und Senf. ",pizza.jpg,8,5
7, "Schoko-Kuchen mit Kirschen\, Himbeeren\, Blaubeeren\, Bananen\, Rosinen\, Cranberries und Ananas. Nicht ganz 10\, aber ich bin trotzdem stolz",cake1.jpg,11,20
8, "Mein Kuchen ist komplett aus Früchten (und Gemüse)\, also glutenfrei und vegan :D Mit Wassermelone\, Honigmelone\, Trauben\, Erdbeeren\, Heidelbeeren\, Banane und Ananas!",fruitcake.jpg,11,7
9, "Ich habe eine Sahnetorte gebacken mit fruchtigen Toppings: Passionsfrucht\, Pfirsich\, Apfel\, etc. etc. das seht ihr ja selbst :)",fancycake.jpg,11,3
10, "Ist das geschummelt? War aber lecker ",obstkuchen.jpg,11,4
11, "Meine Toppings sind Ziegenkäse\, karamellisierte Zwiebeln und Äpfel!",goatcheesepizza.jpg,8,14
